Video analysis detailed log																																								
Face Model:	General61																																							
Calibration:	None																																							
Start time:	0																																							
Filename:	\Donald_Trump.mp4																																							
Frame rate:	29.97002997																																							
Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Valence	Arousal	Y - Head Orientation	X - Head Orientation	Z - Head Orientation	Mouth	Left Eye	Right Eye	Left Eyebrow	Right Eyebrow	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Puckerer	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed	Stimulus	Event Marker
00:00.4	0.3228572	0.000699628	0.1471447	0.02912444	0.000690304	0.02121676	0.05877662	0.09672453	-0.1464451	0.9590617	27.30567	1.803494	-8.114907	Closed	Closed	Open	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	B	NotActive	C	B	NotActive	NotActive	D	B	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.5	0.3263941	0.000684109	0.1535638	0.02825319	0.000694029	0.02156414	0.05873236	0.1031758	-0.1528797	0.9568735	27.52172	1.515492	-8.157205	Closed	Closed	Open	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	B	NotActive	C	B	NotActive	NotActive	D	B	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.5	0.3295719	0.000669415	0.1587368	0.02748055	0.000700382	0.02186706	0.05858129	0.1062322	-0.1580673	0.9545755	27.50881	1.461602	-8.168361	Closed	Closed	Open	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	B	NotActive	C	B	NotActive	NotActive	D	B	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.5	0.3486126	0.000676562	0.152788	0.02633697	0.000719927	0.02180243	0.05665663	0.113856	-0.1521115	0.9523033	28.5587	1.068554	-8.046721	Closed	Closed	Open	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	B	NotActive	C	B	NotActive	NotActive	D	B	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.6	0.347576	0.000646523	0.1859189	0.02511206	0.000745143	0.02354584	0.05811195	0.1140992	-0.1852724	0.9499307	30.62243	1.310302	-7.917708	Closed	Closed	Open	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	B	NotActive	C	B	NotActive	NotActive	D	B	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.6	0.3632547	0.000644297	0.1822036	0.02390836	0.000778122	0.02357773	0.05576649	0.1175217	-0.1815593	0.9476503	31.63489	2.220329	-7.587509	Closed	Closed	Open	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	B	NotActive	C	B	NotActive	NotActive	D	A	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.6	0.37012	0.000654298	0.1797025	0.02295472	0.000771201	0.02370112	0.05487949	0.1134259	-0.1790482	0.9454883	32.71471	2.598006	-7.680077	Closed	Closed	Open	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	B	NotActive	C	B	NotActive	NotActive	D	A	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.7	0.363868	0.000640253	0.1890261	0.02251991	0.000752372	0.02453291	0.05536528	0.1072957	-0.1883858	0.9433979	32.62687	2.347446	-7.684252	Closed	Closed	Open	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	B	NotActive	C	B	NotActive	NotActive	D	A	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.7	0.3586425	0.000652699	0.190871	0.0224192	0.000745818	0.02438531	0.05515733	0.1061155	-0.1902183	0.9412724	31.83637	2.627533	-7.517275	Closed	Closed	Open	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	B	NotActive	C	B	NotActive	NotActive	D	A	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.7	0.3531069	0.000678809	0.1872086	0.0221122	0.000726474	0.02434319	0.05718324	0.1007477	-0.1865298	0.9391416	31.24118	2.706425	-7.689737	Closed	Closed	Open	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	B	NotActive	C	B	NotActive	NotActive	D	A	NotActive	NotActive	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
