Video analysis detailed log																																								
Face Model:	General61																																							
Calibration:	None																																							
Start time:	0																																							
Filename:	\Megyn_Kelly.mp4																																							
Frame rate:	29.97002997																																							
Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Valence	Arousal	Y - Head Orientation	X - Head Orientation	Z - Head Orientation	Mouth	Left Eye	Right Eye	Left Eyebrow	Right Eyebrow	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Puckerer	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed	Stimulus	Event Marker
00:00.4	0.3982087	0.2548955	0.003184691	0.00433296	0.02809156	0.001210786	0.006676495	0.004811889	0.248219	0.4577498	-5.264661	-5.405255	3.190352	Open	Open	Open	Neutral	Neutral	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.4	0.3910888	0.2559129	0.003731678	0.003960403	0.02887893	0.001215155	0.00689771	0.005266766	0.2490152	0.4656694	-4.484326	-5.37371	3.496563	Open	Open	Open	Neutral	Neutral	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.5	0.3825879	0.2586668	0.00421144	0.003610749	0.0302921	0.001228652	0.007044137	0.00537273	0.2516227	0.4734656	-3.850549	-5.418327	3.269376	Open	Open	Open	Neutral	Neutral	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	No Stimulus	No Event Marker
00:00.5	0.3725316	0.253907	0.005168196	0.003304292	0.0306193	0.001201362	0.007379389	0.005708401	0.2465276	0.4796815	-2.240884	-5.387344	2.774138	Open	Open	Open	Neutral	Neutral	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	A	No Stimulus	No Event Marker
00:00.5	0.359556	0.2494378	0.006472106	0.003031633	0.03051423	0.00112235	0.007659529	0.005562306	0.2417783	0.481927	-0.518761	-6.207952	2.595786	Open	Open	Open	Neutral	Neutral	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	A	No Stimulus	No Event Marker
00:00.6	0.3502957	0.2521378	0.007086998	0.002779491	0.03029183	0.001052811	0.007914446	0.005289043	0.2442233	0.481927	1.002917	-7.490962	2.954762	Open	Open	Open	Neutral	Neutral	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	A	No Stimulus	No Event Marker
00:00.6	0.3410056	0.2559175	0.008185953	0.002582805	0.02909719	0.000972959	0.008024667	0.006198735	0.2477315	0.4814507	1.215271	-6.988996	2.651835	Open	Open	Open	Neutral	Neutral	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	A	No Stimulus	No Event Marker
00:00.6	0.3373908	0.2680411	0.008989887	0.002382461	0.02850537	0.0008997	0.008036437	0.008648586	0.2590512	0.4806265	1.068844	-8.540673	3.029251	Open	Open	Open	Neutral	Neutral	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	B	No Stimulus	No Event Marker
00:00.7	0.3314808	0.2807578	0.009757766	0.002202637	0.02752137	0.000829765	0.008051096	0.01047725	0.2710001	0.4795725	1.66765	-8.049643	2.783775	Open	Open	Closed	Neutral	Neutral	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	A	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	B	No Stimulus	No Event Marker
00:00.7	0.3447233	0.2831638	0.01020479	0.002056105	0.02634538	0.000765102	0.008135325	0.01070689	0.272959	0.4783378	3.304017	-9.992039	3.002362	Open	Open	Closed	Neutral	Neutral	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	A	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	B	No Stimulus	No Event Marker
00:00.7	0.358069	0.2825727	0.01051568	0.00194773	0.02519691	0.000704518	0.008001368	0.01077002	0.2720571	0.4769068	5.115614	-10.64251	2.870383	Closed	Open	Closed	Neutral	Neutral	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	A	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	B	No Stimulus	No Event Marker
00:00.8	0.3694683	0.2838247	0.01042888	0.001869699	0.02429908	0.000647906	0.007807697	0.01094882	0.2733958	0.4753929	6.637264	-10.15026	2.76147	Closed	Open	Closed	Neutral	Neutral	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	A	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C	No Stimulus	No Event Marker
00:00.8	0.3864745	0.2774793	0.01076377	0.001767816	0.02389999	0.000594521	0.007674682	0.01452417	0.2667155	0.4737107	7.390254	-6.843357	2.881545	Closed	Closed	Closed	Neutral	Neutral	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	B	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C	No Stimulus	No Event Marker
00:00.8	0.4039558	0.2742699	0.0109825	0.001690077	0.02317601	0.000546942	0.00758178	0.01497687	0.2632874	0.471904	7.931071	-10.13776	3.280233	Closed	Closed	Closed	Neutral	Neutral	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	B	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C	No Stimulus	No Event Marker
00:00.9	0.4178092	0.2746573	0.01110819	0.001612024	0.0224206	0.000504963	0.00754195	0.01643093	0.2635491	0.4699843	7.266891	-8.839114	3.652766	Closed	Closed	Closed	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	B	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C	No Stimulus	No Event Marker
00:00.9	0.4337093	0.273641	0.01111145	0.001562224	0.02143605	0.000468037	0.007587657	0.01659294	0.2625296	0.4679599	6.498553	-8.933634	3.95346	Closed	Closed	Closed	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	B	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C	No Stimulus	No Event Marker
00:00.9	0.4425001	0.2735891	0.01127875	0.001521009	0.02028532	0.000439591	0.007730118	0.01705298	0.2623103	0.465836	5.05697	-7.585196	4.240961	Closed	Closed	Closed	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	B	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C	No Stimulus	No Event Marker
00:01.0	0.4498412	0.277996	0.01147757	0.001430169	0.01964993	0.00041219	0.00772137	0.0183806	0.2665184	0.4636097	4.515051	-6.688622	4.455998	Closed	Closed	Closed	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C	No Stimulus	No Event Marker
00:01.0	0.4579679	0.279844	0.01207229	0.001343285	0.018768	0.000386105	0.007752458	0.01998352	0.2677717	0.4612393	4.163057	-6.423014	4.682384	Closed	Closed	Closed	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C	No Stimulus	No Event Marker
00:01.0	0.4667513	0.2803783	0.01286347	0.00127173	0.01774362	0.000364291	0.007714743	0.02358797	0.2675149	0.4587396	3.294807	-5.473052	4.861697	Closed	Closed	Closed	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C	No Stimulus	No Event Marker
00:01.1	0.4770157	0.279944	0.01337019	0.001201224	0.01693127	0.000344182	0.007628718	0.02718004	0.2665738	0.4561174	1.920171	-5.096081	5.180132	Closed	Closed	Closed	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C	No Stimulus	No Event Marker
00:01.1	0.4758161	0.275127	0.01404358	0.001192152	0.01575193	0.000326834	0.007968947	0.02954801	0.2610834	0.4534496	0.9137211	-3.58859	5.290772	Closed	Closed	Closed	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	No Stimulus	No Event Marker
00:01.1	0.4531826	0.2862415	0.01450532	0.00111125	0.01512644	0.000321697	0.008323194	0.02856966	0.2717362	0.4507318	-0.6669567	-4.973269	5.98604	Closed	Closed	Closed	Neutral	Lowered	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	No Stimulus	No Event Marker
